Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2014","Babesiosis, Cum 2014, flag","Babesiosis, Cum 2013","Babesiosis, Cum 2013, flag","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
E.S. CENTRAL,2014,19,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,19,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,19,,-,0,,0,,,-,,-,,,
PACIFIC,2014,19,,-,0,,2,,1,,1,,,,
UNITED STATES,2014,20,,-,18,,148,,31,,51,,,,
NEW ENGLAND,2014,20,,-,5,,83,,17,,32,,,,
MID. ATLANTIC,2014,20,,-,8,,57,,12,,12,,-,,
E.N. CENTRAL,2014,20,,-,0,,11,,1,,2,,,,
W.N. CENTRAL,2014,20,,-,0,,10,,,-,3,,,,
S. ATLANTIC,2014,20,,-,0,,2,,,-,2,,,,
E.S. CENTRAL,2014,20,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,20,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,20,,-,0,,0,,,-,,-,,,
PACIFIC,2014,20,,-,0,,2,,1,,,-,,,
UNITED STATES,2014,21,2,,18,,148,,34,,57,,,,
NEW ENGLAND,2014,21,1,,4,,83,,19,,34,,,,
MID. ATLANTIC,2014,21,1,,8,,57,,13,,14,,-,,
E.N. CENTRAL,2014,21,,-,0,,11,,1,,2,,,,
W.N. CENTRAL,2014,21,,-,0,,10,,,-,4,,,,
S. ATLANTIC,2014,21,,-,0,,2,,,-,3,,,,
E.S. CENTRAL,2014,21,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,21,,-,0,,1,,,-,,-,,,
MOUNTAIN,2014,21,,-,0,,0,,,-,,-,,,
PACIFIC,2014,21,,-,0,,2,,1,,,-,,,
UNITED STATES,2014,22,1,,18,,148,,36,,71,,,,
NEW ENGLAND,2014,22,1,,4,,83,,20,,42,,,,
MID. ATLANTIC,2014,22,,-,8,,57,,14,,19,,-,,
